,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),Cloud
6,7,146200,3963,CO,1,1.7798895743413246,0.0928856718168911,0.0015153028580992,0.0491957721861271,0.8164341387650976,0.0491996559697004,Ursa Major
7,8,146200,3963,CO,2,0.1112970524112316,0.0,0.3991052873162971,0.0,0.695626712871797,0.0,Ursa Major
0,1,146930,2075,HI,1,37.11092792956135,0.7728657369702429,-1.210915664909591,0.0724745991990408,3.014247310901713,0.0724885913062105,Camelopardalis
1,2,146930,2075,67,1,0.0578820640344064,0.0057008986888095,-0.1345228713660244,0.0963764625794447,0.8417443218859644,0.0951998880387112,Camelopardalis
2,3,146930,2075,65,1,0.0335006449827706,0.0092471088405439,0.1364080412470496,0.1527067501093332,0.6422672847230729,0.2281129429107939,Camelopardalis
3,4,146930,2075,CO,1,0.6976649112388545,0.0923779184663546,0.0558851046994671,0.1062599962926623,0.6956479315672217,0.1065219324336114,Camelopardalis
0,1,147000,4038,HI,1,11.054594191090326,0.1773546487822564,0.7138080582681733,0.0813385174272807,4.668752194340417,0.093314304086507,Ursa Major
1,2,147000,4038,HI,2,0.8758518729524674,0.0648712006270718,-34.59544321341146,3.3989620593350383,32.05479582597434,3.1353932783405902,Ursa Major
2,3,147000,4038,67,1,0.0076688935684635,0.0026508847645586,1.023449986718102,0.5452606466116947,0.9313441776502116,0.5408486387317194,Ursa Major
3,4,147000,4038,67,2,0.041632111614719,0.0026333033589296,-1.88350584266262,0.1008956599335955,0.9420667671145936,0.1000663703804438,Ursa Major
4,5,147000,4038,65,1,0.0088340873376773,0.0023986416437686,-0.918986809186722,0.567625734222269,3.257372847518741,0.7063325627998613,Ursa Major
5,6,147000,4038,65,2,0.0166836717192315,0.0035946211198695,-1.2673947465183255,0.1474242151807946,-1.2673947465183255,0.1847057548454605,Ursa Major
6,7,147000,4038,CO,1,1.5428262270107074,0.1001673965437373,-1.8636799907262345,0.0631161043387185,0.8410380558835608,0.0649712359216351,Ursa Major
7,8,147000,4038,CO,2,0.6071467897081537,0.1283832159503829,1.1163465540087176,0.1265750963957255,0.4958814757406985,0.1234507557335457,Ursa Major
0,1,147200,4075,HI,1,6.9235472446403,0.6220447179042693,3.855902666875568,0.0951124367738571,1.0313126128954937,0.1034849826750966,Ursa Major
1,2,147200,4075,HI,2,17.243276111859426,0.3937016200259489,1.2266125067993945,0.100444548469412,3.903025777955108,0.0714693716364287,Ursa Major
2,3,147200,4075,67,1,0.0767279764507123,0.0020207714486641,3.683673326849729,0.0238205386873995,0.7311166419152296,0.0211761433560216,Ursa Major
3,4,147200,4075,67,2,0.025082231251676,0.0017083839878259,-1.7484808613362606,0.0880439031918404,1.1194742064717031,0.0880593266175184,Ursa Major
4,5,147200,4075,65,1,0.0549463668936019,0.0027474760666276,3.8128769692908886,0.0406193898205904,0.6836668904466211,0.0393744740505579,Ursa Major
5,6,147200,4075,65,2,0.0019399480910642,0.0,3.855902666875568,0.0,1.0313126128954937,0.0,Ursa Major
6,7,147200,4075,CO,1,1.9999986995437933,54.07750121479821,3.789920275357591,1.946730964048587,0.6890661504746641,1.1236255455743356,Ursa Major
7,8,147200,4075,CO,2,1.999998785451276,54.099328014925256,3.668362610329001,1.484570260431323,0.603640234129008,1.2252583342707737,Ursa Major
0,1,148200,3863,HI,1,8.93463817097734,1.0335490226991282,1.1005172539083343,0.4609879990183416,5.912545150790401,0.4598974075968042,Ursa Major
1,2,148200,3863,HI,2,7.812903048470581,1.2543217368282735,-0.9330103550278536,0.2314396414385552,1.5722060404535827,0.3019579052774184,Ursa Major
2,3,148200,3863,67,1,0.0477202871753101,0.0021547657094292,-1.82780533381537,0.0629438197920687,1.2071303588007254,0.062942954033025,Ursa Major
3,4,148200,3863,67,2,0.0025800072030077,0.0,1.1005172539083343,0.0,5.912545150790401,0.0,Ursa Major
4,5,148200,3863,65,1,0.0416343090883763,0.0025302111034537,-2.2001676541976574,0.0606383556538098,0.8602886609840956,0.060123604581714,Ursa Major
5,6,148200,3863,65,2,0.0025331970137816,0.0,1.1005172539083343,0.0,5.912545150790401,0.0,Ursa Major
