,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
5,6,127500,2088,67,3,0.0025311405460828,0.1733587315565951,0.9258846599342974,0.298293549685893,0.9258846599342974,0.2690803409364287,0.0169430988490454,0.0032480400608494,Polaris,T
6,7,127500,2088,65,1,0.025790636717681,0.0018076524331463,-1.3904549843160328,0.1812380715260885,2.183250360775616,0.186651922458887,0.1221629041236705,0.005989963581371,Polaris,F
7,8,127500,2088,65,2,0.0051578660592983,0.0015796797929116,9.148195238443256,1.0374192643140248,9.148195238443256,1.08720534924785,0.0334237031577532,0.006791980285132,Polaris,F
8,9,127500,2088,65,3,0.0024423518919818,0.1733587315565951,3.496421771588825,0.298293549685893,6.693859365204491,0.2690803409364287,0.0053322656493103,0.0053322656493103,Polaris,T
9,10,127500,2088,CO,1,2.598015107623254,0.1030589348175364,-0.610891217464342,0.05900260915097,1.2881293720101792,0.0590026092414143,7.393872087396136,0.2165310958390208,Polaris,F
10,11,127500,2088,CO,2,0.135955782387799,0.2473008938306328,-1.3904549843160328,0.135649088630669,2.183250360775616,0.123678511218004,0.1751286365883481,0.008021745902338,Polaris,T
11,12,127500,2088,CO,3,0.135955782387799,0.1733587315565951,-1.3904549843160328,0.298293549685893,2.183250360775616,0.2690803409364287,0.1751286365883481,0.008021745902338,Polaris,T
0,1,137160,4300,HI,1,2.5920754590231225,0.1587096229925571,2.875547347058847e-16,0.808045112249362,10.876046431740091,0.6581775117793783,107.8246400000001,2.0226826058726397,Ursa Major,F
1,2,137160,4300,HI,2,11.218610157922228,0.3570247066324016,7.849033496497569,0.0614046431705232,1.7560832882416466,0.0696531213634498,58.478080000000055,0.9045711607275272,Ursa Major,F
2,3,137160,4300,67,1,0.0100486469311072,0.002925678508004,8.702887202449206,0.277082263927786,0.8235885228038882,0.2767420694642608,0.0188392955119935,0.0034215571532793,Ursa Major,F
3,4,137160,4300,67,2,0.0021334611434711,0.3570247066324016,0.925930593832831,0.0614046431705232,0.925930593832831,0.0696531213634498,0.0017570941116109,0.0005904184519657,Ursa Major,T
4,5,137160,4300,65,1,0.0031012243865742,0.0020814334067646,-1.0088494414606568,1.2630512051409442,1.6297547584484764,1.2630512196862964,0.0119303338831532,0.0047804976679523,Ursa Major,F
5,6,137160,4300,65,2,0.0023062141810665,0.3570247066324016,8.702887202449206,0.0614046431705232,0.8235885228038882,0.0696531213634498,0.0037585635355946,0.0029128666342539,Ursa Major,T
6,7,137160,4300,CO,1,-1.6175127845092617e-19,2.212942951655336e-20,1.1308825007835755e-09,1.3196357884723983e-10,0.9999999972285588,8.43733618641117e-10,0.0,0.0,Ursa Major,F
7,8,137160,4300,CO,2,0.0,0.3570247066324016,-1.0088494414606568,0.0614046431705232,1.6297547584484764,0.0696531213634498,0.0,0.0,Ursa Major,T
0,1,142210,2325,HI,1,0.8187818935027146,0.0957866137215266,-28.850766010813476,5.007798350759524,36.47009207576901,3.877945432936817,435.8924800000004,1.4288276799656474,Camelopardalis,F
1,2,142210,2325,HI,2,14.290680953489646,0.2833589303557479,-3.1260891250803766,0.1100259818728967,8.02541967277781,0.147916726158825,340.1139200000003,0.6614186926117894,Camelopardalis,F
2,3,142210,2325,HI,3,19.395987638335647,0.3845629056231583,-1.3307612635600805,0.0333075500766817,1.7447578403969222,0.0427564192261421,145.19808000000015,0.3117957618328912,Camelopardalis,F
3,4,142210,2325,67,1,0.0848634288278895,0.0028972354682821,-2.042812760827099,0.0328814278956948,0.8203336410309069,0.031869961044845,0.1584682904649681,0.0041341438564231,Camelopardalis,F
4,5,142210,2325,67,2,0.0025779302510502,0.2833589303557479,0.925878063381333,0.1100259818728967,0.925878063381333,0.147916726158825,0.0021147629091677,8.215853667729785e-05,Camelopardalis,T
5,6,142210,2325,67,3,0.0025779302510502,0.3845629056231583,0.925878063381333,0.0333075500766817,0.925878063381333,0.0427564192261421,0.0021147629091677,8.215853667729785e-05,Camelopardalis,T
6,7,142210,2325,65,1,0.0436490484240119,0.0029165635691183,-1.955868042479381,0.0631167665272566,0.7895289492486205,0.0591319476318325,0.0798733692133254,0.0041048221899749,Camelopardalis,F
7,8,142210,2325,65,2,0.0025566418355384,0.2833589303557479,-2.042812760827099,0.1100259818728967,0.8203336410309069,0.147916726158825,0.0020185427420177,0.0001511792111324,Camelopardalis,T
8,9,142210,2325,65,3,0.0025566418355384,0.3845629056231583,-2.042812760827099,0.0333075500766817,0.8203336410309069,0.0427564192261421,0.0020185427420177,0.0001511792111324,Camelopardalis,T
9,10,142210,2325,CO,1,2.5048790767581166,0.1312680471310828,-2.169309616876536,0.0430531919794336,0.7110518783544574,0.0430114529285549,3.731103057748129,0.1709537302699054,Camelopardalis,F
10,11,142210,2325,CO,2,0.1518020612287198,0.2833589303557479,-1.955868042479381,0.1100259818728967,0.7895289492486205,0.147916726158825,0.1079391407747596,0.0065292272109967,Camelopardalis,T
11,12,142210,2325,CO,3,0.1518020612287198,0.3845629056231583,-1.955868042479381,0.0333075500766817,0.7895289492486205,0.0427564192261421,0.1079391407747596,0.0065292272109967,Camelopardalis,T
0,1,143000,3850,HI,1,12.8057579785774,1.8211544925789185,2.0375859406947554,0.1508741268724334,1.3593606585338214,0.2020249541901911,114.20416000000009,4.08962975275181,Ursa Major,F
1,2,143000,3850,HI,2,17.59769507662082,1.61160822887452,4.1127965801086805,0.2764313166310596,3.666836252469904,0.1758582784752699,185.2492800000002,6.134444629127714,Ursa Major,F
2,3,143000,3850,67,1,0.0977413746711885,0.0027798612688604,2.225670531178603,0.0300396946965674,0.9185261685473152,0.0302987156536914,0.1914083448557289,0.0038599093819097,Ursa Major,F
3,4,143000,3850,67,2,0.0024069452289151,1.61160822887452,0.9258705573859772,0.2764313166310596,0.9258705573859772,0.1758582784752699,0.0022108421790186,7.29273490849089e-05,Ursa Major,T
4,5,143000,3850,65,1,0.0539614172084862,0.0027789987177454,2.2926641798384204,0.0545133140715749,0.9211372140645914,0.0550602957521733,0.1036092269524094,0.0036344291037028,Ursa Major,F
5,6,143000,3850,65,2,0.0022636812010639,1.61160822887452,2.225670531178603,0.2764313166310596,0.9185261685473152,0.1758582784752699,0.0020851609950784,0.0001246389564192,Ursa Major,T
6,7,143000,3850,CO,1,2.491925626706548,0.1015561373713509,2.3020714602854566,0.0374194884871251,0.795075551002367,0.0374137564284308,3.959732391656829,0.1335312381080902,Ursa Major,F
7,8,143000,3850,CO,2,0.1185701265255769,1.61160822887452,2.2926641798384204,0.2764313166310596,0.9211372140645914,0.1758582784752699,0.0942722086797435,0.0044361538335161,Ursa Major,T
0,1,146070,1775,HI,1,17.38956569574488,0.8829481580871011,-1.9317341301763251,0.2109421758854153,5.902980654912383,0.1689686963411377,317.6678400000003,1.5826293908444098,Camelopardalis,F
1,2,146070,1775,HI,2,20.0,0.9762551143084862,0.7432388661281437,0.078731932904381,1.976836875199312,0.105157593421812,161.24416000000016,0.8459509929683613,Camelopardalis,F
2,3,146070,1775,67,1,0.2302671864327856,0.0030007786026659,0.4876116673018191,0.0115955679548359,0.7232107681212088,0.010439200971863,0.3981320966637847,0.003972180824975,Camelopardalis,F
3,4,146070,1775,67,2,0.0024768628790628,0.9762551143084862,0.9259049776049436,0.078731932904381,0.9259049776049436,0.105157593421812,0.0017912939052979,2.585646937428459e-05,Camelopardalis,T
