l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
148200,3863,67,2,0.0024875367269112,1.25432102051252,0.9258837418381348,0.2314417338147591,0.9258837418381348,0.3019633087276884,0.0030027811000652,0.0001756244501301,Ursa Major,T
148200,3863,65,1,0.0416343090863558,0.0028555813141465,-2.2001676544182214,0.0684360899097497,0.8602886609479505,0.0678551450124283,0.080700137840749,0.0040236373023255,Ursa Major,F
148200,3863,65,2,0.0025060613814553,1.25432102051252,-1.8278053344556289,0.2314417338147591,1.2071303581490478,0.3019633087276884,0.0021559361901055,0.0001700491584486,Ursa Major,T
148200,3863,CO,1,1.5764542799907588,0.1029978082978974,-2.3167824118635734,0.0523789194319935,0.6933150129114397,0.0522316864531222,2.3017023131817416,0.1252716353690247,Ursa Major,F
148200,3863,CO,2,0.1112359464812846,1.25432102051252,-2.2001676544182214,0.2314417338147591,0.8602886609479505,0.3019633087276884,0.077121551670888,0.0058100410789267,Ursa Major,T
148210,2350,HI,1,10.816929906089156,0.4690545667328621,1.905394106232884,0.0611848767046908,1.2932932235503014,0.0703722301585726,71.69664000000006,0.5641179323863846,Camelopardalis,F
148210,2350,HI,2,11.950759692217888,0.2330220933405587,-1.8133888339492497,0.1577061968269473,8.47508811951176,0.1488286205194105,253.83808000000016,1.4565462382862866,Camelopardalis,F
148210,2350,67,1,0.0663290363602572,0.0030941516555266,1.370475098198923,0.0396192366014725,0.6713389310004173,0.0347624840666194,0.0910598615487316,0.0033980252914172,Camelopardalis,F
148210,2350,67,2,0.0025950451624212,0.2330220933405587,0.925905553012683,0.1577061968269473,0.925905553012683,0.1488286205194105,0.0017421548452376,9.02102161108262e-05,Camelopardalis,T
148210,2350,65,1,0.0443652193040752,0.0034218299676723,1.2836389500351366,0.0592848675242677,0.6091418849823063,0.0548863711403107,0.059264405180058,0.0039940561772047,Camelopardalis,F
148210,2350,65,2,0.0030466491652633,0.2330220933405587,1.370475098198923,0.1577061968269473,0.6713389310004173,0.1488286205194105,0.0018558416154082,0.0001672195168189,Camelopardalis,T
148210,2350,CO,1,3.165647243661476,0.1413032813821473,1.3043243887643154,0.0268114652986478,0.5456698023736924,0.0291646773679811,3.444942844885146,0.1210236799983623,Camelopardalis,F
148210,2350,CO,2,0.131617934466838,0.2330220933405587,1.2836389500351366,0.1577061968269473,0.6091418849823063,0.1488286205194105,0.0718199322893531,0.0038385945945654,Camelopardalis,T
156640,3250,HI,1,23.45682045283368,0.6794468407133984,-0.7429464516917313,0.0956510950866195,2.861469012864513,0.0956852422886467,134.85312000000013,4.547944809692981,Ursa Major,F
